route_id,name,mountain_id,mountain_name,grade,grade_yds,length_ft,pitches,type,first_ascent_year,latitude,longitude,accident_count,mp_route_id
44,East Face,272,Mix Up,,,,,alpine,,47.7511,-120.7401,1,110928504.0
45,fourteeners,325,Ouray,,,,,unknown,,39.5501,-105.7821,1,
46,"soft catch,",312,Oceanic,,,,,unknown,,,,1,
47,sweet spot,230,Canon,,,,,unknown,,43.1939,-71.5724,1,121616761.0
48,the X.,385,Starlight,,,,,unknown,,36.7783,-119.4179,1,
49,tricky,14,Teewinot,,,,,unknown,,43.7763,-110.8219,1,202324927
50,Alpine Scramblers,86,Silver,,,,,unknown,,47.7511,-120.7401,1,
51,Avalanche!,383,Spring,,,,,unknown,,,,1,
52,"distressed,",5,Longs,,,,,unknown,,40.2549,-105.6151,1,
53,Summit to the Sea,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
54,CMC Route,18,Moran,,,,,unknown,,43.076,-107.2903,1,105823529
55,unwellness.,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
56,Calgary Route,15,Yamnuska,,,,,unknown,,51.13,-114.98,1,
57,Sunnyside Wall,368,Sunnyside,,,,,trad,,,,1,
58,Can I safely reverse these moves?,16,Cathedral,,,,,unknown,,36.7783,-119.4179,1,
59,easy,41,Aberdeen,,,,,unknown,,51.4968,-115.9281,1,106081308
60,Canmore Leader,87,Stoneworks,,,,,unknown,,40.3428,-105.6836,1,
61,Tattoo Wall,58,Endless,,,,,trad,,38.0667,-81.0667,1,
62,Casino Wall,146,Aces High on Casino,,,,,trad,,,,1,
63,summit fever,43,Thompson,,,,,unknown,,47.7511,-120.7401,1,109819438
64,Ten minutes from car on Norquay and needed help.,287,Norquay,,,,,unknown,,51.4968,-115.9281,1,
65,easy,5,Longs,,,,,unknown,,40.2549,-105.6151,1,106081308
66,Central Couloir,126,Joffre,,,,,alpine,,,,1,
67,pushing through,2,Rainier,,,,,unknown,,46.8523,-121.7603,1,
68,Challenge 1999,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
69,The Bulge,340,Dorr,,,,,unknown,,44.3386,-68.2733,1,124972490
70,Chasm Meadows Cabin below the East Face,5,Longs,,,,,alpine,,40.2549,-105.6151,1,
71,wasn’t feeling too well,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
72,China Wall,101,Stephen,,,,,trad,,51.3167,-116.45,1,124472838
73,"The Chute,",19,Whitney,,,,,unknown,,36.5785,-118.2923,1,
74,Clear Creek Route,4,Shasta,,,,,unknown,,41.4093,-122.1949,1,
75,exposure,134,Canyon Spring,,,,,unknown,,34.0489,-111.0937,1,111811508
76,Colombia Epopeya A,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
77,The Great Arch,50,Stone,,,,,unknown,,36.4,-81.0333,1,105887520
78,Considerable,32,Wilson,,,,,unknown,,51.45,-116.0667,1,
79,rag dolling,243,Little Bear,,,,,unknown,,64.2008,-149.4937,1,
80,Creating a Hazardous Condition,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
81,"The Pearly Gates,",3,Hood,,,,,unknown,,45.3736,-121.696,1,
82,Culp-Bossier Route,26,Hallett,,,,,unknown,,40.3428,-105.6836,1,
83,fair weather,3,Hood,,,,,unknown,,45.3736,-121.696,1,106724501
84,Death March 2000,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
85,"The Shoulder,",342,Candian Border,,,,,unknown,,,,1,
86,Deshawa Peak,289,North Arapaho,,,,,unknown,,39.5501,-105.7821,1,
87,social proof,6,Washington,,,,,unknown,,44.2705,-71.3033,1,
88,Die Bahner.,53,Mckinley,,,,,unknown,,63.1148,-151.1926,1,
89,The Turtle,2,Rainier,,,,,unknown,,46.8523,-121.7603,1,126148735
90,Disappointment Cleaver Route,2,Rainier,,,,,unknown,,46.8523,-121.7603,1,105877100
91,felt tired.,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
92,Don’t move!,361,Pisgah,,,,,unknown,,44.5588,-72.5778,1,
93,"The rock gave way, which made him pitch forward,",348,Snowmass,,,,,unknown,,39.5501,-105.7821,1,
94,Double Crack,196,Guides,,,,,trad,,43.7904,-110.6818,1,112829274
95,ramp.,3,Hood,,,,,unknown,,45.3736,-121.696,1,
96,Duksung Women’s University Alpine Team Expedition,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
97,"There was no sign of danger when we went up,",188,Idems,,,,,unknown,,64.2008,-149.4937,1,
98,East Buttress,79,Johnson,,,,,alpine,,64.2008,-149.4937,1,
99,for the benefit of the public,3,Hood,,,,,unknown,,45.3736,-121.696,1,
100,Three Guys on Denali,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
101,real,339,Dogwood,,,,,unknown,,39.321,-111.0937,1,200399048
102,Thunderbird,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
103,East Face,18,Moran,,,,,alpine,,43.7904,-110.6818,1,125439829
104,free ride.,38,Olympus,,,,,unknown,,47.8013,-123.7108,1,
105,East Face,7,Temple,,,,,alpine,,51.35,-116.2167,1,125439829
106,reasonable,2,Rainier,,,,,unknown,,46.8523,-121.7603,1,107434656
107,take,302,Pikes,,,,,unknown,,39.5501,-105.7821,1,107188574
108,three times as long,9,Robson,,,,,unknown,,53.1097,-119.1564,1,
109,Top Gun,24,Back of the Lake,,,,,unknown,,,,1,113513082
110,Brian.,2,Rainier,,,,,unknown,,46.8523,-121.7603,1,
111,Trango Italy.,269,Midnight Surf,,,,,unknown,,,,1,
112,glue,52,Storm,,,,,unknown,,39.321,-111.0937,1,123426845
113,Emmons Route,2,Rainier,,,,,unknown,,46.8523,-121.7603,1,
114,"reasonable Scottish mist,",78,Indefatigable,,,,,unknown,,40.3428,-105.6836,1,
115,Endless Wall,58,Endless,,,,,trad,,38.0667,-81.0667,1,
116,Turtle Team,31,Foraker,,,,,unknown,,62.9604,-151.3998,1,
117,Extreme.,112,Lady,,,,,unknown,,,,1,
118,Sudden Arrhythmic Cardiac Death,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
119,Falling!,276,Drive-by,,,,,unknown,,,,1,108893650
120,Upper Cornice.,2,Rainier,,,,,unknown,,46.8523,-121.7603,1,
121,Falling!,14,Teewinot,,,,,unknown,,43.7763,-110.8219,1,108893650
122,"go, no-go",179,Garfield,,,,,unknown,,47.7511,-120.7401,1,
123,"Falling,",30,Shuksan,,,,,unknown,,48.8098,-121.6065,1,106501827
124,Urs Hole,17,Cascade,,,,,unknown,,40.3428,-105.6836,1,113838560
125,"Feast of Snakes,",233,Carmel,,,,,unknown,,39.321,-111.0937,1,
126,rebar,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
127,Feudal Wall,229,Feudal,,,,,trad,,36.7783,-119.4179,1,
128,Velcro ripping,261,Main,,,,,unknown,,36.7783,-119.4179,1,
129,Flake Pitch,197,Guides',,,,,unknown,,43.7904,-110.6818,1,117285474
130,had a history of brain tumors.,2,Rainier,,,,,unknown,,46.8523,-121.7603,1,
131,Football Field,2,Rainier,,,,,unknown,,46.8523,-121.7603,1,
132,Victory Wall,411,Victory,,,,,trad,,,,1,113595092
133,Free at Last,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
134,Bumblebee Wall,308,Bumblebee,,,,,trad,,39.321,-111.0937,1,
135,Friday and began the ascent up Liberty Ridge,2,Rainier,,,,,alpine,,46.8523,-121.7603,1,
136,WSW Face Snow Gullies,307,Buller,,,,,alpine,,53.9333,-116.5765,1,
137,Front Porch,137,Granite,,,,,unknown,,46.8306,-113.4051,1,
138,hands-on stable,48,Table Rock,,,,,unknown,,35.98,-81.88,1,
139,GPS satellite communicator,380,Thielsen,,,,,unknown,,43.8041,-120.5542,1,
140,Way- honed hardmen,396,Whitesides,,,,,unknown,,,,1,
141,"Gambo De Palamos,",53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
142,rescue,86,Silver,,,,,unknown,,47.7511,-120.7401,1,
143,Gooseberry,29,Tunnel,,,,,unknown,,40.3428,-105.6836,1,
144,We climb past that one!,60,Chair,,,,,unknown,,47.7511,-120.7401,1,
145,Grassi Ridge,142,Wiwaxy,,,,,alpine,,51.45,-116.5,1,
146,head and leg injuries and major bleeding...we need help now!,4,Shasta,,,,,unknown,,41.4093,-122.1949,1,
147,Great Gully,6,Washington,,,,,unknown,,44.2705,-71.3033,1,
148,We need help! I had a bad lead fall.,50,Stone,,,,,unknown,,36.4,-81.0333,1,
149,Gully to Tantalus-Dione Col,404,Tantalus,,,,,unknown,,53.7267,-127.6476,1,
150,solutions,94,Split,,,,,unknown,,36.7783,-119.4179,1,
151,HIGH,6,Washington,,,,,unknown,,44.2705,-71.3033,1,
152,"We were pretty worried by that time,",18,Moran,,,,,unknown,,43.7904,-110.6818,1,
153,Head Wall,403,Tammay,,,,,trad,,,,1,
154,somehow missed the first ledge.,39,Owen,,,,,unknown,,43.7429,-110.7958,1,
155,Heart.,4,Shasta,,,,,unknown,,41.4093,-122.1949,1,
156,West Buttheads,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
157,Help!,91,Thunderbolt,,,,,unknown,,36.7783,-119.4179,1,
158,take.,120,Moores,,,,,unknown,,36.3956,-80.2628,1,
159,Hotlum-Wintun Route,4,Shasta,,,,,unknown,,41.4093,-122.1949,1,
160,West Buttress,53,Mckinley,,,,,alpine,,40.3428,-105.6836,1,
161,I Hear My Train A-Coming,166,Back-of-the-Lake,,,,,unknown,,40.3428,-105.6836,1,
162,holds,227,Fall on Artificial Rock,,,,,unknown,,39.5501,-105.7821,1,
163,"I think my brain stem is pushing through my foramen magnum,",2,Rainier,,,,,unknown,,46.8523,-121.7603,1,
164,West Face,252,Dione,,,,,alpine,,,,1,
165,"I, Robot",47,Happy Hour,,,,,unknown,,40.015,-105.405,1,
166,drag Rick,2,Rainier,,,,,unknown,,46.8523,-121.7603,1,
167,If I fall here I’m in trouble.,436,Beckey's,,,,,unknown,,39.321,-111.0937,1,
168,hourglass,3,Hood,,,,,unknown,,45.3736,-121.696,1,
169,"Interfering with Agency Function,",53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
170,something with ten pitches of 5.9.,164,Colchuck,,,,,unknown,,47.7511,-120.7401,1,
171,"It would be nice to have at least a set of stoppers,",378,Thatchtop,,,,,unknown,,40.3428,-105.6836,1,
172,West Face,40,Sir,,,,,alpine,,48.7596,-113.787,1,
173,"It’s just Hillman’s,",6,Washington,,,,,unknown,,44.2705,-71.3033,1,
174,Bihedral Wall,140,Bihedral,,,,,trad,,40.015,-105.405,1,
175,I’m OK!,6,Washington,,,,,unknown,,44.2705,-71.3033,1,
176,West Face,168,West Face of the North,,,,,alpine,,,,1,
177,"I’m feeling better, I’ve been walking around today.",53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
178,"iced up,",3,Hood,,,,,unknown,,45.3736,-121.696,1,
179,I’m okay!,237,Laurel,,,,,unknown,,36.7783,-119.4179,1,
180,West Ridge,439,Biddle,,,,,alpine,,51.45,-116.5,1,
181,Japanese Couloir,432,Barrill,,,,,alpine,,63.1148,-151.1926,1,
182,Southwest Face,165,Colin,,,,,alpine,,52.8734,-117.9543,1,
183,Jim is on his back and unresponsive.,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
184,West Ridge,36,Stuart,,,,,alpine,,47.4753,-120.9025,1,
185,Kahiltna Glacier to ascend the West Buttress,53,McKinley,,,,,alpine,,63.0695,-151.0074,1,
186,Alpine Garden above Damnation Gully,6,Washington,,,,,unknown,,44.2705,-71.3033,1,
187,Kain Route,298,Parks Canada and Canadian,,,,,unknown,,50.5,-116.5,1,
188,"lessons learned,",216,Humboldt,,,,,unknown,,39.5501,-105.7821,1,
189,West Shoulder Direct,25,Andromeda,,,,,unknown,,52.2,-117.2833,1,
190,Beehive.,2,Rainier,,,,,unknown,,46.8523,-121.7603,1,
191,Knife Edge near Pamola Peak,132,Katahdin,,,,,unknown,,45.9187,-68.8597,1,
192,"We’re moving the chess pieces around all over the mountain,",53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
193,L10 at Denali 2012,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
194,lightweight and fast,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
195,looked easy.,55,Ragged,,,,,unknown,,41.6333,-72.7833,1,
196,"screamer suit,",22,Hunter,,,,,unknown,,62.9804,-151.0984,1,
197,Lion Head Winter Route,6,Washington,,,,,unknown,,44.2705,-71.3033,1,
198,Southwest Ridge,97,Uto,,,,,alpine,,48.7596,-113.787,1,
199,Long’s Peak Navy,5,Longs,,,,,unknown,,40.2549,-105.6151,1,
200,Wintun Route,4,Shasta,,,,,unknown,,41.4093,-122.1949,1,
201,Lower Peanuts Wall,115,Lower Peanuts,,,,,trad,,39.9311,-105.2928,1,
202,main,2,Rainier,,,,,unknown,,46.8523,-121.7603,1,
203,May Day,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
204,Wy'East Face,2,Rainier,,,,,alpine,,46.8523,-121.7603,1,
205,Mazama Glacier,37,Adams,,,,,alpine,,46.2024,-121.4909,1,
206,scrub or go,122,Dragontail,,,,,unknown,,47.7511,-120.7401,1,
207,Messner Couloir,53,McKinley,,,,,alpine,,63.0695,-151.0074,1,
208,Yellow Wall,139,Yellow,,,,,trad,,,,1,
209,Mount McKinley were blown off the West Buttress,53,McKinley,,,,,alpine,,63.0695,-151.0074,1,
210,mashed up,290,North Carolina,,,,,unknown,,,,1,
211,"Mousetrap,",9,Robson,,,,,unknown,,53.1097,-119.1564,1,
212,Yocum Ridge,3,Hood,Grade IV 5.7,,6000.0,,alpine,,45.3736,-121.696,1,
213,"My hands and feet are cold,",53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
214,spring,231,Cantata,,,,,unknown,,64.2008,-149.4937,1,
215,Nasty Groove.,58,Endless,,,,,unknown,,38.0667,-81.0667,1,
216,You’ve got High Altitude Pulmonary Edema!,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
217,"No problem, I will let you back down using the rope.",63,Tammany,,,,,unknown,,,,1,
218,meet up,4,Shasta,,,,,unknown,,41.4093,-122.1949,1,
219,North Buttress,22,Hunter,,,,,alpine,,62.9804,-151.0984,1,
220,a big piece of rock in his lap.,119,Muir,,,,,unknown,,37.2151,-118.5437,1,
221,North Face,182,Easy Day,,,,,alpine,,43.076,-107.2903,1,
222,several hundred meters,2,Rainier,,,,,unknown,,46.8523,-121.7603,1,
223,North Face,125,Fay,,,,,alpine,,51.3333,-116.2667,1,
224,minor,2,Rainier,,,,,unknown,,46.8523,-121.7603,1,
225,North Face,95,Stanley,,,,,alpine,,40.3428,-105.6836,1,
226,shelf,2,Rainier,,,,,unknown,,46.8523,-121.7603,1,
227,North Ridge,10,Athabasca,,,,,alpine,,52.6942,-117.2133,1,
228,moaning,2,Rainier,,,,,unknown,,46.8523,-121.7603,1,
229,North Ridge,366,Stewart,,,,,alpine,,47.7511,-120.7401,1,
230,Bunk Bed Wall,309,Bunk Bed,,,,,trad,,,,1,
231,North-Northeast Ridge,286,Norman Clyde,,,,,alpine,,36.7783,-119.4179,1,
232,an extra safety measure.,280,Dead Cat's,,,,,unknown,,,,1,
233,Northeast Buttress,60,Chair,,,,,alpine,,47.7511,-120.7401,1,
234,moderately-difficult,100,Crandell,,,,,unknown,,,,1,
235,Northeast Face,90,Chinaman's,,,,,alpine,,,,1,
236,anchoring,334,Ptarmigan,,,,,unknown,,64.2008,-149.4937,1,
237,Northeast Ridge,81,Assiniboine,,,,,alpine,,50.8667,-115.65,1,
238,Balfour Wall,117,Murchison,,,,,trad,,51.9167,-116.7833,1,
239,back.,430,Abraham,,,,,unknown,,40.3428,-105.6836,1,
240,night,31,Foraker,,,,,unknown,,62.9604,-151.3998,1,
241,Northwest Ridge,40,Sir,,,,,alpine,,50.2667,-117.2833,1,
242,short-cut,11,Jefferson,,,,,unknown,,44.6744,-121.799,1,
243,"OSAT,03",53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
244,bail-out ’biner,50,Stone,,,,,unknown,,36.4,-81.0333,1,
245,"Off belay,",13,Baker,,,,,unknown,,48.7767,-121.8144,1,
246,strange wind,82,Flattop,,,,,unknown,,40.3428,-105.6836,1,
247,"Oh, no!",250,Devil's,,,,,unknown,,36.4864,-118.5658,1,
248,banging,2,Rainier,,,,,unknown,,46.8523,-121.7603,1,
249,One Way to Wangland.,401,Barrier,,,,,unknown,,,,1,
250,no energy and we cannot go up.,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
251,Ophir Wall,321,Ophir,,,,,trad,,39.5501,-105.7821,1,
252,basketball-sized,277,Dunderberg,,,,,unknown,,36.7783,-119.4179,1,
253,best guess,350,South,,,,,unknown,,44.3386,-68.2733,1,
254,standard,249,Lookout,,,,,unknown,,39.5501,-105.7821,1,
255,"Out of the way,",199,Guy,,,,,unknown,,47.7511,-120.7401,1,
256,black ice,5,Longs,,,,,unknown,,40.2549,-105.6151,1,
257,Painted Wall,326,Painted,,,,,trad,,39.5501,-105.7821,1,
258,no man’s land,8,Redgarden,,,,,trad,,39.9311,-105.2928,1,
259,Party Buttress,58,Endless,,,,,alpine,,38.0667,-81.0667,1,
260,blue ice.,4,Shasta,,,,,unknown,,41.4093,-122.1949,1,
261,"Photo Finish,",25,Andromeda,,,,,unknown,,52.2,-117.2833,1,
262,tomahawked,7,Temple,,,,,unknown,,51.35,-116.2167,1,
263,Pink Panther,31,Foraker,,,,,unknown,,62.9604,-151.3998,1,
264,bomb proof.,59,Ha Ling,,,,,unknown,,40.3428,-105.6836,1,
265,Piton Crack,104,Old Rag,,,,,trad,,,,1,
266,normal,4,Shasta,,,,,unknown,,41.4093,-122.1949,1,
267,Polish Female Denali 2010,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
268,bottomless,3,Hood,,,,,unknown,,45.3736,-121.696,1,
269,Princes of the Puff of Smoke,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
270,shortcut,428,Wrangell-St,,,,,unknown,,64.2008,-149.4937,1,
271,Pumping the Pigeon,369,Sunshine,,,,,unknown,,47.7511,-120.7401,1,
272,"buddy system,",123,Eagle Cliff,,,,,unknown,,40.3428,-105.6836,1,
273,ROCK!,69,Goat,,,,,unknown,,47.7511,-120.7401,1,
274,novice.,133,Jackson,,,,,unknown,,48.7596,-113.787,1,
275,Ravine to climb Pinnacle Gully,6,Washington,,,,,unknown,,44.2705,-71.3033,1,
276,capsizing,69,Goat,,,,,unknown,,47.7511,-120.7401,1,
277,official,85,Ritter,,,,,unknown,,36.7783,-119.4179,1,
278,Air Voyage Wall,24,Back of the Lake,,,,,trad,,51.4968,-115.9281,1,
279,Red Shirt Route,15,Yamnuska,,,,,unknown,,51.13,-114.98,1,
280,chatting about whatever.,48,Table Rock,,,,,unknown,,35.98,-81.88,1,
281,Red Wall,388,Crowder's,,,,,trad,,,,1,
282,step,4,Shasta,,,,,unknown,,41.4093,-122.1949,1,
283,Redgarden Wall,23,Red Garden,,,,,trad,,39.9311,-105.2928,1,
284,only slight headaches the night before.,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
285,Rescue Gully,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
286,time to put the rope on.,81,Assiniboine,,,,,unknown,,50.8667,-115.65,1,
287,Ripple Wall,351,Ripple,,,,,trad,,36.1357,-115.4274,1,
288,climbing partner wanted,26,Hallett,,,,,unknown,,40.3428,-105.6836,1,
289,Rock!,64,Cory,,,,,unknown,,,,1,
290,"only the bare essentials of climbing,",294,Bold,,,,,unknown,,64.2008,-149.4937,1,
291,Rock!,258,Lost,,,,,unknown,,34.0489,-111.0937,1,
292,conservative,114,Louis,,,,,unknown,,40.3428,-105.6836,1,
293,Rock!,394,Whitehorse,,,,,unknown,,47.7511,-120.7401,1,
294,Southeast Ridge,53,McKinley,,,,,alpine,,63.0695,-151.0074,1,
295,"Rock, rock, rock!",38,Olympus,,,,,unknown,,47.8013,-123.7108,1,
296,sliding sheet of ice,3,Hood,,,,,unknown,,45.3736,-121.696,1,
297,Rocky Mountain National Park—The Climber’s Guide—High Peaks,5,Longs,,,,,unknown,,40.2549,-105.6151,1,
298,Australian Rappel,20,Pilot,,,,,unknown,,36.3378,-80.4697,1,
299,Rundle Ridge,12,Rundle,,,,,alpine,,51.1333,-115.4333,1,
300,considerable,418,Wasington,,,,,unknown,,47.7511,-120.7401,1,
301,SOS,413,Waddington,,,,,unknown,,51.3731,-125.2631,1,
302,South Ridge,221,Ishbel,,,,,alpine,,40.3428,-105.6836,1,
303,Salathe Wall,74,Salathe,,,,,trad,,36.7783,-119.4179,1,
304,"patrolled,",21,Crowders,,,,,unknown,,35.2095,-81.2981,1,
305,Sargents Ridge,4,Shasta,,,,,alpine,,41.4093,-122.1949,1,
306,stitched it up,204,Junkyard,,,,,unknown,,38.0731,-81.0779,1,
307,crater,3,Hood,,,,,unknown,,45.3736,-121.696,1,
308,petrified mud,46,Camelback,,,,,unknown,,34.0489,-111.0937,1,
309,Seven Summits Croatia,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
310,did everything to the limit.,3,Hood,,,,,unknown,,45.3736,-121.696,1,
311,Sickle Couloir,18,Moran,,,,,alpine,,43.7904,-110.6818,1,
312,toe-in landing,184,El Diente,,,,,unknown,,39.5501,-105.7821,1,
313,Alpine Scramble,377,Snoqualmie,,,,,unknown,,47.7511,-120.7401,1,
314,Annapurna Klub,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
315,Advanced Mountain Operations Course,29,Tunnel,,,,,unknown,,51.4968,-115.9281,1,
316,day hike.,66,Rainbow,,,,,unknown,,48.7596,-113.787,1,
317,Alley Cats,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
318,South Face,225,Face of Petit Grepon in Rocky,,,,,alpine,,40.3428,-105.6836,1,
319,...could not climb up or down from Thumb Rock.,2,Rainier,,,,,unknown,,46.8523,-121.7603,1,
320,whoosh,20,Pilot,,,,,unknown,,36.3378,-80.4697,1,
321,Apex Trail,14,Teewinot,,,,,unknown,,43.7763,-110.8219,1,
322,pop,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
323,"Autobahn,",53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
324,pop!,16,Cathedral,,,,,unknown,,37.8651,-119.5383,1,
325,Avalanche!,6,Washington,,,,,unknown,,44.2705,-71.3033,1,
326,Archangel Ridge,31,Foraker,,,,,alpine,,62.9604,-151.3998,1,
327,Beer Run,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
328,snow cave,2,Rainier,,,,,unknown,,46.8523,-121.7603,1,
329,"Blackbeard,",212,Henley,,,,,unknown,,,,1,
330,positive,22,Hunter,,,,,unknown,,62.9804,-151.0984,1,
331,British Army Expedition,53,McKinley,,,,,unknown,,63.0695,-151.0074,1,
332,Sugar Cube,46,Camelback,,,,,unknown,,34.0489,-111.0937,1,
333,Butterfly Buttress.,79,Johnson,,,,,alpine,,64.2008,-149.4937,1,
334,push my limits.,35,Disappointment,,,,,unknown,,43.7904,-110.6818,1,
335,Calling Wolfgang,422,Upper Town,,,,,unknown,,47.7511,-120.7401,1,
336,Tarzan Leap.,390,Cutthroat,,,,,unknown,,47.7511,-120.7401,1,
