weather_id,accident_id,date,latitude,longitude,temperature_avg,temperature_min,temperature_max,wind_speed_avg,wind_speed_max,precipitation_total,visibility_avg,cloud_cover_avg
64,,1989-04-17,40.34,-105.68,3.4,-2.1,9.1,13.25,24.3,0.9,,33.21
65,,1989-04-18,40.34,-105.68,3.05,-2.3,8.5,11.89,19.5,0.4,,14.33
66,,1989-04-19,40.34,-105.68,4.59,-1.6,11.3,8.8,13.0,0.0,,56.88
67,,1989-04-20,40.34,-105.68,6.3,-0.1,11.7,5.12,7.4,0.2,,76.17
68,,1989-04-21,40.34,-105.68,7.16,2.0,13.4,7.92,14.4,0.0,,68.54
69,,1989-04-22,40.34,-105.68,6.45,0.8,12.8,11.15,18.0,0.0,,55.83
70,10.0,1989-04-23,40.34,-105.68,6.63,1.0,12.0,6.7,11.3,0.3,,42.42
71,,1989-04-24,63.07,-151.01,-31.31,-32.1,-30.7,3.39,4.0,11.9,,99.67
72,,1989-04-25,63.07,-151.01,-30.59,-31.4,-29.8,2.41,4.0,10.0,,99.0
73,,1989-04-26,63.07,-151.01,-30.12,-30.9,-29.2,2.73,4.1,3.1,,93.83
74,,1989-04-27,63.07,-151.01,-28.74,-30.5,-27.1,2.01,3.8,2.7,,93.25
75,11.0,1989-04-28,63.07,-151.01,-27.83,-30.4,-26.0,3.54,4.6,2.1,,98.46
76,,1989-04-29,63.07,-151.01,-29.78,-32.0,-27.1,1.25,4.0,0.0,,81.12
77,14.0,1989-04-30,63.07,-151.01,-27.08,-29.6,-24.9,0.53,1.1,0.0,,75.83
78,,1989-04-24,47.75,-120.74,8.36,3.5,13.4,4.95,9.2,0.0,,66.92
79,,1989-04-25,47.75,-120.74,6.03,4.0,7.6,5.08,6.6,5.6,,93.04
80,,1989-04-26,47.75,-120.74,5.85,3.2,9.4,3.85,6.4,2.9,,84.71
81,,1989-04-27,47.75,-120.74,6.97,2.3,12.5,4.35,6.5,0.6,,50.38
82,,1989-04-28,47.75,-120.74,7.75,2.5,11.9,6.45,13.4,0.0,,54.83
83,12.0,1989-04-29,47.75,-120.74,9.23,5.8,12.9,8.35,13.8,0.0,,8.75
84,,1989-04-30,47.75,-120.74,9.87,3.7,16.8,4.71,9.1,0.0,,11.0
85,,1989-04-24,45.33,-76.17,4.4,-0.8,10.6,16.03,23.9,0.0,,43.12
86,,1989-04-25,45.33,-76.17,4.98,-0.3,11.8,8.42,12.0,0.0,,31.29
87,,1989-04-26,45.33,-76.17,6.55,-0.7,14.1,11.78,18.8,0.0,,30.71
88,,1989-04-27,45.33,-76.17,5.73,0.8,10.9,12.99,19.9,0.0,,66.17
89,,1989-04-28,45.33,-76.17,4.57,0.2,10.0,9.75,13.7,0.0,,47.88
90,,1989-04-29,45.33,-76.17,7.0,-0.3,13.2,8.2,10.3,0.0,,79.88
91,13.0,1989-04-30,45.33,-76.17,9.86,6.3,15.5,6.2,13.8,0.7,,82.88
92,15.0,1989-05-01,63.07,-151.01,-26.91,-28.8,-24.5,0.91,1.8,0.1,,79.5
93,,1989-05-02,63.07,-151.01,-26.46,-28.2,-24.7,1.59,3.2,1.4,,80.79
94,16.0,1989-05-03,63.07,-151.01,-25.13,-26.1,-23.6,2.78,4.1,6.3,,98.71
95,,1989-05-04,63.07,-151.01,-29.76,-33.8,-26.2,3.22,4.2,12.4,,98.12
96,,1989-05-05,63.07,-151.01,-32.8,-34.9,-31.0,2.49,4.3,0.0,,94.33
97,17.0,1989-05-06,63.07,-151.01,-31.64,-33.3,-29.6,1.78,3.2,0.0,,70.38
98,,1989-05-07,63.07,-151.01,-30.5,-32.3,-29.1,1.26,2.4,0.8,,85.92
99,,1989-05-01,40.34,-105.68,-2.2,-10.5,5.9,10.92,18.3,0.3,,63.25
100,,1989-05-02,40.34,-105.68,0.73,-4.1,6.3,10.65,17.9,1.7,,93.46
101,,1989-05-03,40.34,-105.68,0.34,-3.7,4.3,15.02,22.2,3.4,,70.96
102,,1989-05-04,40.34,-105.68,-0.14,-4.4,4.1,12.37,20.1,3.3,,63.54
103,,1989-05-05,40.34,-105.68,1.69,-4.4,8.5,11.9,18.2,0.0,,27.58
104,,1989-05-06,40.34,-105.68,4.03,-4.1,11.6,10.15,16.5,0.0,,52.33
105,18.0,1989-05-07,40.34,-105.68,6.13,-1.3,13.0,10.17,17.8,0.3,,64.58
106,19.0,1989-05-08,41.41,-122.19,-1.92,-5.6,3.5,3.55,6.1,3.7,,92.0
107,,1989-05-09,41.41,-122.19,-5.48,-9.6,-1.5,5.52,8.5,33.6,,97.08
108,,1989-05-10,41.41,-122.19,-11.11,-13.9,-8.1,7.14,8.7,5.4,,79.88
109,,1989-05-11,41.41,-122.19,-10.24,-14.9,-4.2,7.81,11.3,0.0,,37.29
110,,1989-05-12,41.41,-122.19,-9.59,-16.4,-3.0,7.76,11.8,0.0,,28.42
111,,1989-05-13,41.41,-122.19,-9.34,-14.9,-4.0,8.15,10.8,0.7,,50.54
112,,1989-05-14,41.41,-122.19,-8.18,-14.2,-2.7,6.65,8.8,0.9,,23.04
113,20.0,1989-05-08,46.85,-121.76,-9.81,-16.9,-5.0,4.08,7.9,0.0,,53.0
114,,1989-05-09,46.85,-121.76,-12.29,-16.0,-9.8,5.1,8.5,6.0,,98.33
115,,1989-05-10,46.85,-121.76,-16.9,-20.9,-13.0,9.27,13.4,6.5,,79.42
116,,1989-05-11,46.85,-121.76,-18.15,-21.9,-13.9,6.15,9.2,1.6,,84.04
117,,1989-05-12,46.85,-121.76,-16.88,-20.2,-13.4,4.86,8.7,1.4,,69.75
118,,1989-05-13,46.85,-121.76,-15.01,-22.5,-9.1,4.48,6.5,0.0,,43.58
119,,1989-05-14,46.85,-121.76,-13.67,-20.9,-8.6,4.1,5.9,1.1,,36.75
120,,1989-05-08,63.07,-151.01,-32.92,-34.8,-31.7,3.39,5.2,6.7,,94.71
121,21.0,1989-05-09,63.07,-151.01,-30.84,-33.7,-28.7,3.23,4.5,0.0,,69.83
122,,1989-05-10,63.07,-151.01,-32.59,-35.1,-30.0,1.06,2.3,0.0,,21.17
123,,1989-05-11,63.07,-151.01,-35.72,-38.3,-35.1,1.92,4.0,4.1,,88.83
124,,1989-05-12,63.07,-151.01,-35.86,-39.1,-33.5,1.85,3.2,1.0,,60.12
125,,1989-05-13,63.07,-151.01,-32.87,-34.0,-31.4,2.73,3.6,5.9,,98.54
126,,1989-05-14,63.07,-151.01,-32.2,-34.0,-30.8,1.45,2.6,1.9,,99.46
127,,1989-05-08,43.8,-120.55,13.56,7.9,18.5,3.72,6.6,0.0,,96.17
128,,1989-05-09,43.8,-120.55,12.16,6.7,18.4,11.47,21.5,17.9,,96.71
129,,1989-05-10,43.8,-120.55,5.42,1.9,9.2,18.86,22.9,5.0,,67.62
130,,1989-05-11,43.8,-120.55,4.05,0.1,9.3,11.04,16.1,0.0,,58.08
131,,1989-05-12,43.8,-120.55,5.02,-1.3,10.0,10.42,15.1,0.0,,54.0
132,22.0,1989-05-13,43.8,-120.55,6.6,1.1,11.0,12.79,16.9,0.0,,47.04
133,,1989-05-14,43.8,-120.55,7.53,1.4,12.2,10.33,15.2,1.0,,35.83
134,,1989-05-15,40.34,-105.68,2.03,-4.3,7.1,4.31,8.9,2.3,,94.79
135,,1989-05-16,40.34,-105.68,2.24,-3.8,7.8,3.86,7.3,6.3,,93.08
136,,1989-05-17,40.34,-105.68,3.27,-1.5,8.4,5.42,8.3,1.3,,58.04
137,24.0,1989-05-18,40.34,-105.68,5.51,-4.3,13.1,8.42,14.9,0.0,,5.92
138,,1989-05-19,40.34,-105.68,5.33,0.8,9.5,13.04,21.6,1.3,,18.62
139,,1989-05-20,40.34,-105.68,5.85,-2.7,12.0,7.58,12.2,0.4,,25.08
140,,1989-05-21,40.34,-105.68,6.88,0.6,12.8,8.84,15.5,1.7,,49.25
141,25.0,1989-05-22,37.87,-119.54,6.02,1.1,11.9,9.14,18.4,0.0,,40.33
142,,1989-05-23,37.87,-119.54,0.91,-2.8,4.3,11.08,19.8,1.5,,55.12
143,,1989-05-24,37.87,-119.54,1.65,-3.6,7.3,5.95,13.8,0.0,,4.21
144,,1989-05-25,37.87,-119.54,4.49,-2.3,10.9,5.45,11.5,0.0,,0.17
145,,1989-05-26,37.87,-119.54,6.6,-1.3,13.4,7.67,13.7,0.0,,0.38
146,,1989-05-27,37.87,-119.54,6.58,1.0,12.2,8.17,16.6,0.0,,8.83
147,,1989-05-28,37.87,-119.54,2.39,-2.3,7.4,9.5,18.2,0.0,,9.42
148,,1989-05-22,39.55,-105.78,5.37,-3.8,12.0,6.02,10.4,0.0,,29.46
149,,1989-05-23,39.55,-105.78,6.1,-2.5,13.4,15.02,21.8,0.0,,28.62
150,,1989-05-24,39.55,-105.78,4.14,-0.7,9.0,15.89,28.9,0.0,,29.88
151,,1989-05-25,39.55,-105.78,0.97,-2.9,5.0,9.82,20.2,0.6,,44.92
152,,1989-05-26,39.55,-105.78,1.48,-2.7,7.6,4.73,10.4,1.4,,49.42
153,26.0,1989-05-27,39.55,-105.78,5.15,-3.8,11.8,9.89,19.2,0.5,,35.21
154,,1989-05-28,39.55,-105.78,5.74,-2.3,13.4,13.3,23.5,0.0,,9.29
155,,1989-05-22,63.07,-151.01,-30.93,-31.8,-29.9,2.07,3.1,0.3,,93.96
156,,1989-05-23,63.07,-151.01,-30.78,-32.3,-28.7,1.7,2.8,0.1,,79.42
157,,1989-05-24,63.07,-151.01,-30.88,-32.8,-28.6,1.0,2.3,1.6,,44.42
158,,1989-05-25,63.07,-151.01,-31.01,-33.5,-28.9,1.39,2.7,0.0,,24.38
159,,1989-05-26,63.07,-151.01,-29.01,-31.9,-26.1,2.48,3.9,0.0,,59.04
160,27.0,1989-05-27,63.07,-151.01,-24.99,-27.1,-23.0,3.97,5.2,8.5,,98.5
161,,1989-05-28,63.07,-151.01,-25.3,-26.0,-24.8,2.87,3.8,1.5,,98.58
162,,1989-05-22,49.7,-123.16,10.67,6.9,13.4,3.65,7.9,1.2,,91.0
163,,1989-05-23,49.7,-123.16,7.95,6.1,10.4,4.56,8.4,13.9,,99.17
164,,1989-05-24,49.7,-123.16,8.16,5.8,10.3,3.61,6.1,7.8,,97.38
165,,1989-05-25,49.7,-123.16,9.95,8.6,12.3,4.2,8.3,4.4,,93.04
166,,1989-05-26,49.7,-123.16,8.67,8.1,9.2,3.94,6.7,23.5,,100.0
167,,1989-05-27,49.7,-123.16,10.78,7.8,13.4,2.0,4.0,11.8,,97.96
168,28.0,1989-05-28,49.7,-123.16,13.51,6.5,20.5,3.2,5.3,0.0,,61.46
169,,1989-05-29,53.93,-116.58,9.74,0.9,17.2,8.19,13.6,0.3,,35.75
170,,1989-05-30,53.93,-116.58,10.55,4.3,15.9,4.18,8.6,0.6,,54.5
171,,1989-05-31,53.93,-116.58,12.15,5.8,17.2,15.19,23.3,1.5,,88.29
172,,1989-06-01,53.93,-116.58,13.25,9.6,17.6,15.44,21.9,0.2,,45.38
173,31.0,1989-06-02,53.93,-116.58,12.08,5.0,16.9,12.92,21.1,0.0,,34.54
174,,1989-06-03,53.93,-116.58,11.67,5.5,16.8,7.81,11.0,0.0,,54.75
175,,1989-06-04,53.93,-116.58,15.65,6.6,22.8,9.61,17.3,0.0,,40.29
176,32.0,1989-06-05,39.32,-111.09,12.22,5.4,18.7,10.61,20.6,0.1,,34.46
177,,1989-06-06,39.32,-111.09,11.26,4.8,16.7,10.88,19.7,0.0,,32.79
178,,1989-06-07,39.32,-111.09,12.65,4.6,19.2,5.78,7.4,0.0,,24.79
179,,1989-06-08,39.32,-111.09,12.29,6.6,17.7,6.89,11.3,0.3,,76.71
180,,1989-06-09,39.32,-111.09,13.0,5.1,18.9,6.42,11.0,0.1,,63.67
181,,1989-06-10,39.32,-111.09,13.98,6.9,19.4,7.59,13.2,0.0,,43.25
182,,1989-06-11,39.32,-111.09,14.1,6.9,20.3,6.78,11.6,1.9,,47.04
183,,1989-06-05,45.37,-121.7,5.06,-2.9,11.0,7.65,16.0,0.0,,0.38
184,,1989-06-06,45.37,-121.7,1.42,-4.3,7.1,9.92,13.9,0.0,,19.33
185,,1989-06-07,45.37,-121.7,2.17,-5.7,9.0,7.6,11.4,0.0,,8.21
186,,1989-06-08,45.37,-121.7,1.0,-4.5,6.5,10.5,15.5,0.0,,14.25
187,,1989-06-09,45.37,-121.7,-1.77,-6.6,3.5,10.35,17.7,0.0,,23.75
188,,1989-06-10,45.37,-121.7,1.22,-8.4,9.5,2.82,4.8,0.0,,27.67
189,33.0,1989-06-11,45.37,-121.7,4.61,-4.7,11.5,3.8,6.6,0.0,,16.83
190,,1989-06-05,41.41,-122.19,-0.62,-7.0,4.6,4.95,6.9,0.2,,39.12
191,,1989-06-06,41.41,-122.19,0.59,-5.7,6.7,4.28,8.4,0.3,,12.08
192,,1989-06-07,41.41,-122.19,1.5,-6.2,8.4,4.23,6.3,0.0,,16.96
193,,1989-06-08,41.41,-122.19,1.49,-5.4,8.3,5.84,9.6,0.2,,8.67
194,,1989-06-09,41.41,-122.19,0.18,-7.0,6.5,6.24,11.1,0.1,,9.0
195,,1989-06-10,41.41,-122.19,0.98,-7.9,8.6,3.95,6.4,0.3,,31.08
196,34.0,1989-06-11,41.41,-122.19,1.54,-5.0,9.2,4.45,7.2,1.4,,62.96
197,,1989-06-19,37.87,-119.54,14.29,9.6,20.4,6.93,15.8,0.0,,37.67
198,35.0,1989-06-20,37.87,-119.54,13.75,7.2,19.9,7.05,11.9,0.0,,78.04
199,,1989-06-21,37.87,-119.54,12.07,4.0,19.2,6.77,11.4,0.0,,46.71
200,36.0,1989-06-22,37.87,-119.54,13.72,6.5,20.7,7.1,15.3,0.0,,2.17
201,,1989-06-23,37.87,-119.54,13.28,8.8,18.8,5.83,13.3,0.0,,21.58
202,,1989-06-24,37.87,-119.54,9.73,4.8,14.2,4.65,7.1,2.7,,45.88
203,,1989-06-25,37.87,-119.54,10.56,2.1,17.3,5.03,7.6,0.2,,12.75
204,,1989-06-19,40.34,-105.68,15.54,7.5,23.3,7.24,13.6,0.0,,27.75
205,,1989-06-20,40.34,-105.68,13.85,7.4,19.2,13.98,22.8,0.0,,37.75
206,,1989-06-21,40.34,-105.68,6.56,1.3,11.1,8.98,16.9,1.7,,60.5
207,,1989-06-22,40.34,-105.68,3.53,-0.9,8.6,3.99,7.8,4.2,,69.71
208,37.0,1989-06-23,40.34,-105.68,5.15,0.5,11.0,6.02,8.2,3.2,,78.71
209,,1989-06-24,40.34,-105.68,9.53,1.7,16.4,6.35,13.8,0.2,,56.21
210,,1989-06-25,40.34,-105.68,10.97,5.4,17.0,9.03,15.7,0.7,,49.29
211,,1989-06-19,40.02,-105.41,17.18,6.8,26.4,7.78,10.8,0.3,,32.21
212,,1989-06-20,40.02,-105.41,17.15,9.9,23.7,13.15,19.6,0.6,,45.38
213,,1989-06-21,40.02,-105.41,8.92,3.1,13.6,7.77,14.1,7.0,,75.79
214,,1989-06-22,40.02,-105.41,4.95,1.8,9.4,5.92,11.3,6.5,,80.54
215,,1989-06-23,40.02,-105.41,7.77,2.9,11.7,4.29,9.7,3.8,,81.71
216,,1989-06-24,40.02,-105.41,11.33,5.1,18.7,5.09,7.3,3.7,,74.75
217,,1989-06-25,40.02,-105.41,12.61,7.3,20.0,4.48,7.3,1.1,,55.17
218,,1989-06-26,33.87,-115.9,28.58,20.2,35.6,9.55,16.4,0.0,,6.29
219,,1989-06-27,33.87,-115.9,28.63,20.9,34.3,9.95,14.1,0.0,,2.58
220,,1989-06-28,33.87,-115.9,29.14,21.2,35.6,9.61,17.7,0.0,,2.88
221,39.0,1989-06-29,33.87,-115.9,29.4,21.3,36.3,9.43,15.1,0.0,,0.0
222,,1989-06-30,33.87,-115.9,29.07,19.6,37.0,8.74,13.0,0.0,,0.0
223,,1989-07-01,33.87,-115.9,29.3,19.5,37.3,8.19,13.0,0.0,,0.0
224,,1989-07-02,33.87,-115.9,30.95,21.8,38.4,7.33,10.8,0.0,,6.62
225,,1989-06-26,52.2,-117.28,5.39,1.8,8.3,6.9,10.2,5.2,,80.54
226,,1989-06-27,52.2,-117.28,1.71,-0.6,3.7,7.2,12.5,4.3,,63.33
227,,1989-06-28,52.2,-117.28,2.5,-2.0,6.0,6.2,11.0,2.3,,98.04
228,,1989-06-29,52.2,-117.28,5.41,1.4,8.8,6.8,12.0,4.8,,94.71
229,,1989-06-30,52.2,-117.28,5.55,2.2,9.0,6.31,8.7,9.0,,88.58
230,,1989-07-01,52.2,-117.28,2.8,0.5,5.2,8.62,14.0,4.3,,82.5
231,40.0,1989-07-02,52.2,-117.28,3.14,-0.6,7.1,7.73,10.1,1.8,,67.71
232,,1989-06-26,51.13,-115.43,12.83,7.6,18.3,6.98,10.9,3.4,,74.88
233,,1989-06-27,51.13,-115.43,11.02,5.2,15.9,9.14,15.9,0.0,,60.33
234,,1989-06-28,51.13,-115.43,13.45,7.8,17.6,8.04,17.1,0.0,,96.04
235,,1989-06-29,51.13,-115.43,14.64,7.6,19.7,8.92,15.9,0.4,,96.79
236,,1989-06-30,51.13,-115.43,14.16,7.0,22.0,7.15,11.6,3.0,,73.33
237,,1989-07-01,51.13,-115.43,10.89,6.6,14.9,11.43,18.3,0.5,,68.54
238,41.0,1989-07-02,51.13,-115.43,11.49,6.3,15.5,10.4,15.1,1.3,,49.38
239,,1989-07-03,43.08,-107.29,24.36,14.8,31.0,6.98,12.2,0.0,,2.29
240,,1989-07-04,43.08,-107.29,26.51,15.6,34.6,12.53,22.2,0.0,,0.29
241,,1989-07-05,43.08,-107.29,26.12,16.2,32.7,10.68,27.5,0.0,,0.96
242,43.0,1989-07-06,43.08,-107.29,24.84,17.2,31.1,10.25,26.6,0.0,,0.75
243,,1989-07-07,43.08,-107.29,26.73,16.9,33.7,13.55,20.7,0.0,,3.12
244,,1989-07-08,43.08,-107.29,27.57,17.9,34.8,16.05,27.4,0.0,,53.67
245,,1989-07-09,43.08,-107.29,25.3,18.9,31.7,18.22,29.6,0.1,,56.88
246,,1989-07-03,40.34,-105.68,16.87,9.2,22.6,3.36,7.3,0.3,,12.83
247,,1989-07-04,40.34,-105.68,17.41,8.4,24.6,3.99,10.0,0.0,,4.33
248,,1989-07-05,40.34,-105.68,18.15,7.7,25.3,5.46,9.5,0.5,,11.83
249,44.0,1989-07-06,40.34,-105.68,18.82,12.2,24.4,4.42,7.8,0.4,,23.58
250,,1989-07-07,40.34,-105.68,17.79,10.8,24.0,3.57,6.4,0.2,,31.92
251,,1989-07-08,40.34,-105.68,17.29,9.2,24.9,5.26,10.9,0.1,,36.62
252,,1989-07-09,40.34,-105.68,17.35,9.7,24.2,9.44,18.2,0.0,,21.54
253,,1989-07-10,64.2,-149.49,17.3,13.3,20.7,6.55,10.5,0.0,,74.67
254,,1989-07-11,64.2,-149.49,18.32,13.2,23.0,3.56,6.8,0.0,,76.25
255,45.0,1989-07-12,64.2,-149.49,17.15,14.5,21.8,6.38,12.4,1.2,,98.17
256,,1989-07-13,64.2,-149.49,17.79,12.1,22.1,8.89,15.4,0.0,,79.29
257,,1989-07-14,64.2,-149.49,18.99,15.6,22.3,16.14,19.8,0.0,,84.46
258,,1989-07-15,64.2,-149.49,15.36,13.3,18.3,6.88,10.8,1.5,,95.75
259,,1989-07-16,64.2,-149.49,12.95,10.0,14.5,13.54,17.6,1.1,,97.08
260,,1989-07-10,63.07,-151.01,-21.02,-22.6,-19.7,1.4,2.5,0.0,,86.54
261,,1989-07-11,63.07,-151.01,-20.41,-23.3,-18.1,2.16,3.7,0.0,,88.62
262,,1989-07-12,63.07,-151.01,-20.5,-21.9,-19.1,3.37,5.4,6.6,,98.42
263,46.0,1989-07-13,63.07,-151.01,-20.41,-21.2,-19.5,3.98,4.7,6.3,,99.88
264,,1989-07-14,63.07,-151.01,-20.06,-20.9,-19.3,4.16,4.9,2.6,,99.17
265,,1989-07-15,63.07,-151.01,-22.15,-23.8,-20.4,3.3,4.3,0.2,,94.71
266,,1989-07-16,63.07,-151.01,-22.7,-24.6,-20.6,2.19,3.3,4.8,,96.75
267,47.0,1989-07-24,43.08,-107.29,20.21,16.2,25.4,7.98,16.0,4.9,,50.79
268,,1989-07-25,43.08,-107.29,21.73,14.2,28.1,10.85,18.4,0.0,,21.29
269,,1989-07-26,43.08,-107.29,22.93,14.8,29.5,17.71,27.6,0.0,,22.67
270,49.0,1989-07-27,43.08,-107.29,23.88,16.1,29.4,10.47,18.1,0.0,,26.17
271,,1989-07-28,43.08,-107.29,23.97,16.0,29.6,11.98,17.6,0.0,,65.21
272,,1989-07-29,43.08,-107.29,22.55,18.7,26.1,6.62,12.7,0.2,,93.92
273,,1989-07-30,43.08,-107.29,22.46,16.3,27.8,7.97,16.5,0.2,,42.83
274,48.0,1989-07-24,47.75,-120.74,18.82,10.3,26.8,5.6,10.1,0.3,,16.83
275,,1989-07-25,47.75,-120.74,22.2,12.5,29.4,6.42,11.1,0.0,,15.67
276,,1989-07-26,47.75,-120.74,22.7,15.5,31.3,6.26,13.4,0.2,,33.29
277,,1989-07-27,47.75,-120.74,17.75,13.1,24.5,8.27,11.3,0.0,,29.38
278,,1989-07-28,47.75,-120.74,19.74,11.0,27.7,4.92,7.3,0.0,,10.75
279,,1989-07-29,47.75,-120.74,20.9,11.8,30.0,6.25,8.4,0.0,,9.21
