accident_id,source,source_id,date,latitude,longitude,state,location_name,route_name,route_grade,accident_type,activity,severity,fatalities,injuries,description
11,avalanche,a33193b5-9704-421e-92d5-831cf857dadb,2026-01-04,39.5593995,-106.2056674,CO,Pt 12089,,,avalanche,backcountry_skiing,minor,0,1,"Group of 2 skiers. Skier 1 went down the East facing ridge (around 30°) and as soon as skier 1 began to drop steeper into the chute (high 30°s), a slab broke free underneath Skier 1. Skier 1 was briefly caught but luckily able to escape out to the left of the avalanche, about 30 ft below its formation, while the snow continued down the chute. Skier 2 skied around the chute and down a safe route. It was a small / medium small avalanche and ran for ~100-150 ft, and had the potential to bury someone. No observations of danger before the slab formed. The chute itself had a few rocks poking out, the slope was in the high 30°s, and faces East. 

See attached photos for the OnX tracking route for skier 1 and the avalanche."
12,avalanche,893799f3-8d35-41f7-bcbb-70282031cfee,2026-01-02,39.0318156,-107.1869038,CO,Marble Peak,,,avalanche,backcountry_skiing,minor,0,1,"A backcountry skier triggered and was caught in a small avalanche on a northeast-facing slope near treeline on Marble Peak on January 2, 2026. They were carried a short distance (around 10-20 feet down the slope), and they were not buried or injured."
13,avalanche,d2a437b1-ec47-491d-8ec9-cd5a4bbcda91,2026-01-02,38.894034,-107.101843,CO,Scarp Ridge,,,avalanche,backcountry_skiing,serious,0,2,"A snow safety worker at Eleven Irwin triggered a small avalanche from below. The worker was caught, carried about 100 feet, and partially buried - not critical."
14,avalanche,caed80d3-5bdf-45cb-af33-05f3492d3a28,2026-01-02,38.83151,-107.10361,CO,Anthracite Range,,,avalanche,backcountry_skiing,minor,0,1," I stopped to look at the convex roll, then dropped into it, and it broke maybe 10 feet behind and above me. Carried maybe 20 feet. Before stopping"
15,avalanche,b9712fb1-1881-45b3-af76-136fc44ff1eb,2026-01-02,39.0322867,-107.187917,CO,Marble Peak,,,avalanche,backcountry_skiing,minor,0,1,A skier was caught and carried in an avalanche on an east-facing slope near treeline off Marble Peak. They pulled their airbag and stayed on top of the debris for the duration of the slide. 
16,avalanche,3bda0e3d-cde6-4000-aa1d-e32d4c96913d,2025-12-26,37.6306439,-119.033122,CA,Lincoln Mountain,,,avalanche,backcountry_skiing,fatal,1,3,"PRELIMINARY: At approximately 7:30 AM on December 26, 2025, two ski patrollers were caught in an avalanche during avalanche mitigation work on Lincoln Mountain at Mammoth Mountain ski area. Both patrollers sustained injuries in the avalanche. One of the patrollers succumbed to his injuries several days after the accident. We will update this report as more information becomes available.


Our deepest condolences to the family and friends of the patroller who lost their life in this tragic accident and to the whole Mammoth Mountain community. "
17,avalanche,5346271e-ce29-4c36-b2a6-09e21db1c9ed,2025-12-20,43.4818977,-110.9470401,WY,Point 9279,,,avalanche,backcountry_skiing,fatal,1,1,"On Saturday, December 20, 2025 at approximately 2:00pm, two skiers unintentionally triggered an avalanche on a north-facing, steep, rocky, sparsely treed slope approximately one mile south of the main parking lot at Teton Pass. The party triggered another avalanche at the top of a larger, adjacent northeast facing gully before skiing into the smaller feature that avalanched. The terrain was wind-loaded with drifts on the ridge and piles of wind-driven sluff debris beneath short, rock outcroppings. Both avalanches propagated 100 to 150 feet across the 40-45 degree slope. The debris ran 1,000 feet (600’ vertical fall) to the base of the gullies, carrying and critically burying the first skier. The crown face appeared to average one and a half feet in thickness (SS-AS(u)-R3-D2).

BTAC observation https://bridgertetonavalanchecenter.org/observations/#/view/observations/5ec3be54-7776-40be-8089-32665e8ae942
Jackson Hole News and Guide article https://www.jhnewsandguide.com/news/cops_courts/jackson-man-dies-after-dec-20-avalanche-intense-rescue-in-teton-pass-couloir/article_2727be59-eb3b-49df-a14d-969ec464c38a.html"
18,avalanche,9438e5a6-6e73-4256-9481-4704107320ce,2025-12-18,39.0074614,-107.1659593,CO,Mount Justice,,,avalanche,backcountry_skiing,minor,0,1,A skier triggered a small avalanche and was carried a short distance before skiing out of the moving debris.
19,avalanche,cda35081-8625-4eb3-86c3-b40012de5575,2025-12-06,37.7980069,-107.8670579,CO,Sheep Mountain,,,avalanche,backcountry_skiing,minor,0,1,
20,avalanche,0beb4e91-0cae-46f3-b491-554635933c90,2025-12-06,39.7536662,-105.859191,CO,"Butler Gulch, southeast of Jones Pass",,,avalanche,backcountry_skiing,serious,0,5,"On Saturday, December 6, two groups, each consisting of three backcountry skiers, planned ski tours in Butler Gulch.


Group 1 set a skin track up the valley and unknowingly across an avalanche path. They made one ski run down, and then climbed a little farther west to a flat bench just above the treeline. They described what happened next in their observation:


""Once we arrived at the bench, we headed to the west at a group of trees to a perceived safe spot. A steeper slope was above us separated by some flat terrain and some small trees, about 500 - 800 ft away from our location. We decided to travel across a more connected slope to another safe spot one at a time, and then transition there to head down. When the first skier stepped onto the connected terrain, he remote triggered a small slide at the top of the slope above us, about 500 ft away (or more). When that began to move, it stepped down and caused the entire slope to release all the way to the ground. The first skier scrambled across to the safe spot, and the first two skiers stayed in the safe spot they were in.”


The group yelled “avalanche!” The avalanche broke 200 to 300 feet wide and ran past them. A member of Group 1 realized that Group 2 was following their track. Group 1 got their transceivers out and began to descend the avalanche path.


Group 2 had discussed the avalanche forecast and the HIGH (4 of 5) danger in the area. They were familiar with the area and planned to avoid avalanche terrain for the day. They followed the skin track Group 1 made. In their observation, Group 2 said:


""Our party of 3 was skinning/ascending towards the saddle.  Above us was [Group 1], we were friends with one member of the higher party and were on the same radio channel.  We had all talked at the top of our first lap.


Our best guess is that [Group 1] remotely triggered the avalanche at somewhat of a bench. We could not see them at that time. The upper party yelled avalanche to warn us. We saw the avalanche coming down and were hit.  All three of us were caught and carried between 30-50 ft, and for a moment had snow over our heads/faces. None of us were fully buried.  [Two of the skiers had avalanche debris covering body parts (partially buried - not critical) , but were able to free themselves and] it took about 20 seconds to be standing."" 


Groups 1 and 2 made voice contact after the avalanche and confirmed that everyone was okay. Group 1 helped Group 2 retrieve their equipment. Two skiers continued down the avalanche path, conducting a visual and transceiver search. They determined no other parties were involved. All six skiers descended back to the trailhead. Nobody was injured in this incident.


Neither group realized that the skin track crossed an avalanche path. There was poor visibility on December 6 with strong winds and heavy snow. A member of Group 2 stated that it was too cold and windy to keep taking out their phone to navigate using a mapping app. "
21,avalanche,29e083da-293c-4370-b3b9-1b0be4c65301,2025-12-06,39.6485986,-105.8786637,CO,Pt 12293,,,avalanche,backcountry_skiing,minor,0,1,"On December 6, 2025, a backcountry skier reported being caught in an avalanche in the Little Professor avalanche path. This path is located on the west side of US 6, across from the Arapahoe Basin Ski Area. The skier was uninjured."
22,avalanche,1719fe5f-ab65-4e71-9b0b-9a67a684067c,2025-11-29,37.8811611,-107.6918489,CO,"McMillan Peak, southeast of Red Mountain Pass",,,avalanche,backcountry_skiing,minor,0,1,
23,avalanche,a22a4ca3-e9d0-4b7e-8fe8-dbd5c75537c0,2025-06-10,63.07913,-151.05915,AK,"Rescue Gully, West Buttress Mt. McKinley",,,avalanche,ice_climbing,fatal,1,1,"Two climbers triggered a soft slab avalanche while descending a slope under the Rescue Gully that sits above Camp 14 near the West Buttress Route on Mt. McKinley. One climber was on skis and the other on a splitboard. They were descending together, around 20-30 feet apart, when the slab fractured above them. They were both caught and carried approximately 1,500' coming to rest near the toe of the debris. The splitboarder was partially buried up to his waist and able to self rescue. The skier was buried with one arm exposed and face several inches under the snow. Both members were wearing avalanche transceivers and carried a probe and shovel.

Two mountaineering rangers in the area spotted the splitboarder on the surface of the debris and responded in minutes. After quickly assessing the splitboarder, the rangers initiated a beacon search. They found and exposed the skier within 9 minutes. ""CPR was initiated but discontinued after forty minutes due to traumatic injuries and no pulse.""

There were strong winds and some snow during the previous days and the slope was likely cross loaded. The slope heated up later in the day and the snow became moist by the time of the avalanche. Several other people had skied the slope previously that day. The group that triggered the avalanche had booted up through the terrain to access this area. They did not see any signs of cracking or collapsing in the snowpack. "
24,avalanche,c956859a-cd17-4e77-aadc-d14a740630ac,2025-06-01,39.101123,-106.5875985,CO,Independence Pass,,,avalanche,backcountry_skiing,serious,0,2,"On June 1, a solo backcountry skier triggered a wet slab avalanche in an area of Independence Pass locally known as Fourth of July Bowl. The avalanche swept him approximately 400 vertical feet downhill. When he came to rest, he was partially buried, with his head and one arm above the snow. He extricated himself from the debris. Unable to find his skis, he descended on foot back to his vehicle. Fortunately, he did not receive any significant injuries. "
25,avalanche,f7ed052c-d357-40d1-a72c-839d0bd0c6a2,2025-05-27,37.8748857,-107.8477246,CO,Gold King Basin,,,avalanche,backcountry_skiing,minor,0,1,
26,avalanche,3aa40578-73b9-48f2-a1b2-ee63898c21ca,2025-05-24,39.3326162,-106.1769816,CO,Mt Arkansas,,,avalanche,backcountry_skiing,minor,0,1,
27,avalanche,c4e3b6b5-eca0-4b95-b934-c24028c4c9c2,2025-05-20,39.2584644,-107.1560159,CO,Mt. Sopris,,,avalanche,backcountry_skiing,minor,0,1,
28,avalanche,2f462005-262c-4f46-ae2b-d9abc339ae7f,2025-05-03,40.4238238,-105.8972072,CO,"Howard Mountain, Never Summer Mountains",,,avalanche,backcountry_skiing,minor,0,1,
29,avalanche,4c7c78eb-c201-41d4-907f-6ec6d8a493f6,2025-05-02,39.6429108,-105.8210935,CO,"Torreys Peak, southeast of Loveland Pass",,,avalanche,backcountry_skiing,minor,0,1,
30,avalanche,75fc9911-3a36-4ac3-afcf-dd08ba674ca3,2025-05-01,39.0991089,-106.9335606,CO,"Maroon Lake, southwest of Aspen",,,avalanche,backcountry_skiing,minor,0,1,A solo backcountry skier triggered an avalanche on their second turn from the top. The skier was caught but was able to ski off the moving debris without injury. The skier then traveled down the slope around the debris and out of the backcountry without further incident. 
31,avalanche,a81ff87d-7a36-484c-a3ce-3313852fb067,2025-05-01,40.2842248,-105.6788453,CO,"Taylor Peak, Rocky Mountain National Park",,,avalanche,backcountry_skiing,minor,0,1,
32,avalanche,ecab317f-7bce-4d58-9a70-eb9d097dae45,2025-04-28,39.0198831,-106.8626776,CO,Conundrum Peak,,,avalanche,backcountry_skiing,minor,0,1,
33,avalanche,dafa21da-b9bc-4951-9b41-6e6ff45b07a1,2025-04-28,40.309934,-105.668747,CO,"Tyndall Glacier, Rocky Mountain National Park",,,avalanche,backcountry_skiing,minor,0,3,"At 7:00 a.m., three backcountry tourers left the Bear Lake Trailhead to ski the Dragon's Trail couloir. At 8:00 a.m., the group arrived at the base of the slope, transitioned to crampons and ice axes, and started bootpacking up the couloir. The group noted on average 2 to 3 inches of new snow on a firm surface with drifts of a foot. The terrain splits at the top of the line, and the lead bootpacker went into the ""hallway"" feature to the climbers' left. As they entered this terrain feature, the snow became waist-deep. 3 to 4 steps into the deeper snow, the avalanche was triggered. The avalanche broke 15 to 30 feet above the lead bootpacker and around 30 to 60 feet above the other two climbers. All three were caught and carried in the avalanche around 500 feet. "
34,avalanche,33a7ffaa-e59c-4d80-bfbf-e94beeb00e94,2025-04-20,39.6481582,-105.8477703,CO,"Grizzly Peak, southeast of Loveland Pass",,,avalanche,backcountry_skiing,minor,0,1,"One snowboarder and three skiers left the west side of Loveland Pass at 8 AM. They had read the avalanche forecast for the day, looked at wind speeds on the CAIC weather stations page and had talked with friends who had skied steep north-facing terrain the day before and reported soft snow and no slab. The four planned to climb Grizzly Peak and descend a north-facing gully.
 
At approximately 11 AM Snowboarder 1 and Skier 2 dropped into the skier's right, north-facing side of the gully. They descended about 50 feet to an avalanche-sheltered area and waited. Skier 3 descended the left, more northeast-facing side of the gully. Skier 3 triggered a Wind Slab avalanche that broke across the entire left side of the gully, 12 to 24 inches deep. Skier 3 was not caught. Snowboarder 1 and Skier 2 were still on the right side of the gully in snow that had not slid. Skier 2 traversed across rocks to gain the bed surface safely. 

Snowboarder 1 traversed through snow, triggered, and was caught in an avalanche on the right side of the gully. Snowboarder 1 struck a rock with his knee and broke his patella during the avalanche. The avalanche carried him about 700 vertical feet down the gully before he was able to self-arrest, unburied. 

Skier 2 descended the bed surface to Snowboarder 1. At 11:30 AM, as Skier 3 was descending, he called 911 and talked to dispatch. Before he lost service, he provided Skier 4’s contact information. Skier 4 remained on the ridgeline, in radio communication with the other party members. Skiers 2 and 3 assisted Snowboarder 1 to the base of the debris pile. 

Alpine Rescue arrived at 3:30 PM and determined that Snowboarder 1 required helicopter evacuation. During this time a party of two dropped into the gully despite being alerted by Skier 4, still on the ridgeline, to the rescue going on below. A Flight for Life helicopter arrived at 4:30 PM and flew Snowboarder 1 to the hospital in Frisco. Skiers 2 and 3 returned to Bakerville on Interstate 70 with Alpine Rescue, arriving at approximately 5:15 PM. Skier 4 descended back to the vehicles on Loveland Pass."
35,avalanche,cf3dde50-4ddf-4858-8fd8-81bf510a0f4a,2025-04-19,39.9072561,-105.6821174,CO,"Arapaho Lakes, James Peak Wilderness Area",,,avalanche,backcountry_skiing,minor,0,1,An uninvolved party reported watching three skiers each trigger a Loose Wet avalanche. One skier was caught for about 15 feet before being able to move off the avalanche and to the side.
36,avalanche,725ff964-4f0e-4cd4-b575-9a1a3ed0780d,2025-04-19,39.616653,-106.142522,CO,Buffalo Mountain,,,avalanche,backcountry_skiing,minor,0,1,"Three skiers descended the Silver Couloir on Buffalo Mountain, close to Silverthorne. Close to the bottom, Skier 1 descended the left side of the Couloir, which was untracked and faced a little more easterly. After two turns, Skier 1 was caught by the avalanche he triggered and knocked off his feet. He was carried approximately 200 feet and was on the surface of the snow when it stopped. "
37,avalanche,fb7d8e10-ebdb-402a-93be-0281e3142056,2025-04-19,38.6792162,-106.6049892,CO,Square Top Mountain north of Ohio City,,,avalanche,backcountry_skiing,minor,0,2,
38,avalanche,ce140228-41b7-4cdf-b6a2-c0a0d59e7d0c,2025-04-19,40.2882522,-105.6794687,CO,"Andrews Tarn, Rocky Mountain National Park",,,avalanche,backcountry_skiing,minor,0,1,The group arrived at the top of a steeper rollover just downhill from Andrews Tarn. They made the decision to descend one at a time. Skier 1 went down and triggered a wet Storm Slab avalanche the knocked him off his feet and carried him approximately 100 feet. 
39,avalanche,5e4c9c3d-3b19-449b-b998-3aa2268aec16,2025-04-19,40.3098629,-105.6687405,CO,"Flattop Mountain, Rocky Mountain National Park",,,avalanche,backcountry_skiing,minor,0,1,"A group of three backcountry skiers was the first group to ascend and descend the Dragon’s Tail Couloir in Rocky Mountain National Park on April 19, 2025. Skier 4 chatted with these skiers about the riding conditions. They said conditions were not good and that the snow was not powder. 

At approximately 9 AM Skier 4 left Emerald Lake and ascended the apron between the Dead Elk couloir (climber’s left) and the Dragon’s Tail Couloir (climber’s right). He was aware of a natural slide in the Dead Elk couloir. The weather was sunny at this point. Where the apron divides into two couloirs, Skier 4 transitioned to follow the bootpack set by the earlier group. Cloud cover increased as Skier 4 ascended. He noticed the snow becoming wet. 

At approximately 10 AM, Skier 4 decided to end his ascent and start skiing down. He made a couple of turns before hearing a whooshing sound like a wave behind him. An avalanche swept him off his feet. He quickly lost both skis. The avalanche carried Skier 4 approximately 600 to 800 vertical feet down the couloir and onto the apron. He came to rest on the surface of the snow. Skier 4 walked down to the trailhead. Several groups had witnessed the avalanche and checked on Skier 4. At the trailhead, he talked to Rocky Mountain National Park rangers and a Friends of CAIC trailhead outreach coordinator.

Another group of three backcountry tourers had climbed to the top of Dragon's Tail along the ridgeline and descended after Skier 4. They came across the avalanche debris with skis sticking out. After not finding an avalanche transceiver signal, two group members continued to probe the debris, while the Skier 7 went down for help. Skier 7 spoke with the Rocky Mountain National Park rangers and a Friends of CAIC trailhead outreach coordinator at Bear Lake. They confirmed that Skier 4 had returned to the trailhead around an hour earlier. Skier 7 went back up to let his group know they could stop searching."
40,avalanche,78132a91-49b0-4f8a-94c4-9c1365839295,2025-04-12,39.4961152,-106.1182763,CO,"Peak 6, Tenmile Range",,,avalanche,backcountry_skiing,minor,0,1,"Four skiers (Skiers 1 through 4) left the Breckenridge Ski Resort at the Peak 6 backcountry access point at around 11:45 AM on Saturday, April 12. They planned to ski the K Chute of the Sky Chutes, a series of steep, westerly-facing avalanche paths that drop down the west side of the Tenmile Range. The group discussed the avalanche forecast, and they all carried avalanche rescue gear. The group had left a vehicle in a parking area below the Sky Chutes earlier that morning.

The group walked down mostly bare ground from the ridgeline to the top of K Chute. The group put skis on and skied the upper low-angle snowfield together for a few turns. They described the snow conditions as crusty. When they stopped, the group wound up in different spots before entering steeper terrain. Skier 1 radioed the group to discuss descending the section. Skier 2 descended next and had made several turns past Skier 1 when he triggered the avalanche. The avalanche broke above Skier 2 and swept him down the path. 

Skier 1 lost sight of Skier 2 and began to descend the path. Skier 1 got his avalanche transceiver out and also communicated with Skier 3 on the radio. He asked Skier 3 to call 911, letting him know he was beginning to search. Skier 3 did not call 911 due to miscommunication. After a few minutes, Skier 1 spotted Skier 2 in the still-moving avalanche debris. Skier 1 watched Skier 2 move to the left and out of the debris as the avalanche slowed down.

Skier 1 reached Skier 2, approximately 1100 vertical feet from where Skier 2 was caught. Skiers 3 and 4 reached Skier 2 a short time later. Skier 2 was injured but not buried. He had lost both of his skis in the avalanche. Skier 1 assisted Skier 2 in walking down the gully to the skier’s right side onto bare ground. They continued to descend, walking on bare ground. Eventually, they ran out of bare ground and were postholing in soft, wet snow, making travel very difficult. The group realized that Skier 2 had another set of skis in the parking area near the bottom of the path. Skiers 3 and 4 went to retrieve the skis. At the parking lot, they realized they didn’t have climbing skins, and postholing back up the path was too difficult with the snow conditions. Skier 1, who was carrying climbing skins, left Skier 2, descended to the car, retrieved Skier 2’s other skis, and re-ascended to where he left Skier 2. Despite injuries, the two skiers were able to ski down to the car, where they met Skier 2’s spouse, who transported him to the hospital. 

Around 2 PM, a second group of two skiers left the Breckenridge ski area from the same backcountry access point with the same goal of descending K Chute. When the two skiers reached the top of the K Chute, they saw the crown of the avalanche. They weren’t sure when it had occurred. They had a photo from earlier that morning and realized the avalanche wasn’t there at 8:30 AM. The two skiers descended the path with their avalanche transceivers in search mode. They found and transported Skier 2’s skis as they descended. A third group descending the K Chute also conducted a transceiver search of the avalanche debris.

The searching groups reached the bottom of the avalanche debris without detecting a transceiver signal. They called 911 to ask if the avalanche had been reported. They were told it had not been. The Summit County Sheriff's Office and the Summit County Rescue Group (SCRG) were dispatched to the scene. As the rescue group organized, they were alerted by St. Anthony Summit Hospital in Frisco that they were caring for a person caught in an avalanche in the Sky Chutes. SCRG matched the skis found in the K Chute with the description of  Skier 2’s skis."
41,avalanche,10e7b376-ebc6-4a44-90d5-e01c8a20ac19,2025-04-06,39.8352509,-105.6465251,CO,St. Mary's Glacier,,,avalanche,ice_climbing,minor,0,2,"Two climbers on foot triggered and were caught in an avalanche near St. Mary's Glacier on April 6, 2025. They were not buried or injured. They did not see any signs of instability before the avalanche occurred. "
42,avalanche,781d615a-4ee5-4f2b-a859-44c435fe99c1,2025-04-05,38.0242304,-107.8365317,CO,"Wolcott Mountain, southwest of Ridgway",,,avalanche,backcountry_skiing,serious,0,2,
43,avalanche,910ea6ab-dea1-47d5-880f-d7bbef784dbc,2025-04-04,39.0023064,-107.160098,CO,Mount Justice,,,avalanche,backcountry_skiing,minor,0,1,
44,avalanche,47150b3d-7ed6-40c2-8d79-f193b1462d3d,2025-04-02,38.9628265,-107.1002931,CO,"Cascade Mountain, northwest of Crested Butte",,,avalanche,backcountry_skiing,minor,0,1,"Skier #1 triggered an avalanche while conducting fieldwork to investigate recent wind-loading and slab formation. Given the current avalanche concerns, the terrain he and his partner traveled in was selected because it was very manageable. It consisted of short, steep pitches between flatter bench features. Skier #1 made ski cuts along the first pitch and descended without incident. Skier #2 followed, also without incident. Skier #1 descended the slope at the second steep pitch while skier #2 waited from a safe spot. [Skier 1] saw a crack shoot out and exited to the left of the slab, moving clear of the trailing debris. He was only on the moving slab for a brief moment."
45,avalanche,4c3ffbd5-79bc-4d97-a576-b39c55a09829,2025-04-02,39.014154,-107.1741042,CO,Mount Justice,,,avalanche,backcountry_skiing,minor,0,1,
46,avalanche,4962f76d-1bf8-4ad9-a0e7-0ba9e1b0e281,2025-04-02,39.0434415,-107.1955782,CO,Mud Peak,,,avalanche,backcountry_skiing,minor,0,1,
47,avalanche,81b4d842-0ab3-4425-9e1f-3c2163fefa29,2025-03-29,40.5139656,-105.9011928,CO,"South Diamond Peak, northwest of Cameron Pass",,,avalanche,backcountry_skiing,serious,0,2,
48,avalanche,a72d6a28-3f79-4bc1-89a5-4d15301332cd,2025-03-29,38.8567602,-105.0621082,CO,Pikes Peak,,,avalanche,ice_climbing,minor,0,1,
49,avalanche,b30cf1d1-e77b-4e9b-be57-347996ef440f,2025-03-28,39.4186487,-106.1413303,CO,"Atlantic Peak, northeast of Fremont Pass",,,avalanche,ice_climbing,serious,0,2,
50,avalanche,12743e2b-46fe-4f6a-85dc-4e5439a8033a,2025-03-24,39.0519343,-106.8225025,CO,Ashcroft,,,avalanche,backcountry_skiing,minor,0,1,
51,avalanche,709398bb-d4de-4de0-b0e1-c2716c307bca,2025-03-24,37.8638531,-107.543101,CO,"Minnie Gulch, northeast of Silverton",,,avalanche,backcountry_skiing,minor,0,1,
